Date : 2021-03-24 17:24:47
Directory : c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client
Total : 110 files,  6129 codes, 173 comments, 843 blanks, all 7145 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\actionCreators.ts  | TypeScript       |          8 |          0 |          2 |         10 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\constants.ts       | TypeScript       |          1 |          0 |          1 |          2 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\index.ts           | TypeScript       |          4 |          0 |          2 |          6 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\reducer.ts         | TypeScript       |         13 |          0 |          3 |         16 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.config.ts        | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.less             | Less             |         56 |          0 |         13 |         69 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.tsx              | TypeScript React |         97 |          0 |         16 |        113 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.config.ts            | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.less                 | Less             |         99 |          0 |         20 |        119 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.tsx                  | TypeScript React |        253 |          7 |         32 |        292 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\actionCreators.ts    | TypeScript       |         98 |          0 |         12 |        110 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\constants.ts         | TypeScript       |          5 |          0 |          0 |          5 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\index.ts             | TypeScript       |          4 |          0 |          2 |          6 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\reducer.ts           | TypeScript       |         25 |          0 |          3 |         28 |
