"filename", "language", "TypeScript", "JSON", "TypeScript React", "Less", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\custom-theme.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\icon.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 5, 1, 41
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Audition\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Audition\index.less", "Less", 0, 0, 0, 69, 0, 0, 0, 0, 13, 82
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Audition\index.tsx", "TypeScript React", 0, 0, 130, 0, 0, 0, 0, 2, 25, 157
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\ChoiceGame\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\ChoiceGame\index.less", "Less", 0, 0, 0, 71, 0, 0, 0, 0, 18, 89
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\ChoiceGame\index.tsx", "TypeScript React", 0, 0, 158, 0, 0, 0, 0, 1, 18, 177
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\CrossWordGame\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\CrossWordGame\index.less", "Less", 0, 0, 0, 83, 0, 0, 0, 0, 17, 100
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\CrossWordGame\index.tsx", "TypeScript React", 0, 0, 149, 0, 0, 0, 0, 1, 18, 168
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\GameCenter\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\GameCenter\index.less", "Less", 0, 0, 0, 73, 0, 0, 0, 10, 13, 96
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\GameCenter\index.tsx", "TypeScript React", 0, 0, 27, 0, 0, 0, 0, 4, 5, 36
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Home\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Home\index.less", "Less", 0, 0, 0, 111, 0, 0, 0, 0, 22, 133
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Home\index.tsx", "TypeScript React", 0, 0, 117, 0, 0, 0, 0, 7, 14, 138
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\IdentifyGame\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\IdentifyGame\index.less", "Less", 0, 0, 0, 131, 0, 0, 0, 0, 24, 155
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\IdentifyGame\index.tsx", "TypeScript React", 0, 0, 195, 0, 0, 0, 0, 5, 20, 220
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\index.less", "Less", 0, 0, 0, 129, 0, 0, 0, 0, 15, 144
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\index.tsx", "TypeScript React", 0, 0, 145, 0, 0, 0, 0, 2, 20, 167
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\actionCreators.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\constants.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
